Company,Title,Responsibilities,Requirements,Seniority,Employment_Type,Category,Address,Salary_Min,Salary_Max,Salary_Average
Validus Capital ,Senior Data Scientist, Experience with building insights using variedalternate data sources Actively collaborate with technology team product management operations teams and other stake holders Move seamlessly between business problems and coding Present complicated analytical solutions to a nontechnical audience Work with very large data sets residing in different data stores in disparate format Readiness to work in a highly resultsoriented and fast changing landscape in a fintech startup Fluency with R python and commonly used machine learning frameworks Fluency with excel and advanced excel Work closely with various stakeholders in the organization to design and implement the data warehousedata lake Build key data sets to empower insights Credit risk modelling for underwriting and portfolio monitoring using traditional and alternate data sources Enhancing data collection procedures to include information that is relevant for building analytic systems Define the right type of data and metadata ensure consistent clean and integrated data which will be used by business leaders to make more informed decisions , Min 4 years experience doing quantitative analysis Preferred experience in banking payments B2B Lending space BABS in Computer Science Math Engineering Statistics or other technical field Advanced degrees preferred Fluency in SQL Spark or other programming languages Development experience in R Python Advanced understanding of statistical analysis Ability to apply analytics in all aspects of the business  risk marketing process etc Must be entrepreneurial and a problem solver ,Middle Management,Permanent,Risk Management Banking and Finance,The Arcade 11 Collyer Quay 049317,5000.0,8000.0,6500.0
Manpower Staffing Services (Singapore) ,Data Scientist, Work closely with the business to identify issues and use data to propose solutions for effective decision making Merge manage interrogate and extract data to supply tailored reports to colleagues customers or the wider organisation Maintain clear and coherent communication both verbal and written to understand data needs and report results Use machine learning tools and statistical techniques to produce solutions to problems Create clear reports that tell compelling stories about how customers or clients work with the business Horizon scan to stay up to date with latest technology techniques and methods Conduct research from which youll develop prototypes and proof of concepts Able to engage with client and demonstrate present technologies , Minimum of 45 years experience with the standard data science stack  Python Numpy Pandas ScikitLearn scipy matplotlib NLTK etc Familiarity with some of Keras Tensorflow Theano R CC Java Hadoop or Spark Experience in relevant area of scientific disciplines eg machine learning numerical methods signal processing statistics mathematics and optimization Ability to function in Linux operating system and development environment is nice to have    Interested candidates can click apply for more information  We regret to inform that only shortlisted candidates will be notified  We respect your privacy and all communication will be treated with confidentiality  If you wish to know more about this position or explore other roles please prepare your updated profile and get in touch with our consultants Please note that your response to this advertisement and communications with us pursuant to this advertisement will constitute informed consent to the collection use andor disclosure of personal data by Manpower for the purpose of carrying out its business in compliance with the relevant provisions of the Personal Data Protection Act 2012  ,Executive,Contract,Information Technology,Guoco Tower 1 Wallich Street 078881,5000.0,8500.0,6750.0
Dbs Bank ,Data Scientist,Business Function   Group Technology and Operations TO enables and empowers the bank with an efficient nimble and resilient infrastructure through a strategic focus on productivity quality  control technology people capability and innovation In Group TO we manage the majority of the Banks operational processes and inspire to delight our business partners through our multiple banking delivery channels       Responsibilities     Conceptualise develop and deliver relevant analytics models and solutions focusing but not limited to the area of Financial Crime Condense analysis into actionable insights to inform decision making develop strategy and standards for enhancing business performance and operations at LCS  Facilitate deployment of finalised solution to production environment Monitor model performance over time improving and retraining model where necessary Work with domain experts and data scientists from cross functional teams to drive projects and guide juniors as required , Minimum Bachelors degree with at least 8 years of relevant working experience Excellent advanced analytics skills with at least 5 years of prior industry experience in developing machine learning solutions for classification prediction forecasting andor anomaly detection problems Strong expertise in graph mining deep learning and NLP Familiarity with Big Data technologies such as Hadoop Spark and Impala Highly proficient in Python and Spark Enjoy working on difficult problems using cuttingedge tools in an agile environment An understanding of the legal and compliance issues of complex banking organizations      ,Senior Management,Permanent,Information Technology,Marina Bay Financial Centre 12 Marina Boulevard 018982,6500.0,11700.0,9100.0
Ernst & Young Advisory ,"Manager, Data And Analytics, Advisory",EY Data and Analytics is the data and advanced analytics capability within EY AsiaPacific  We have vibrant practices in Australia New Zealand Singapore Hong Kong Korea The Philippines and Malaysia EY Data and Analytics creates intelligent client organizations using data  advanced analytics  We go beyond strategy and provide end to end implementation of real life data environments and have some of the best architects project managers business analysts data scientist big data engineers developers and consultants in the region     Due to our continued growth we are looking for a talented inquisitive and proactive Big Data IM join our team,REQUIREMENTS   Bachelor degree and above in Analytics Information Systems Management Computer Science or related fields Hands on experience in implementing data integration processes designing and developing data modelsERDimensionalVault designing developing and building in detail ETLELT processes or programs Contributed in at least 2 phases of SDLC lifecycle and experience in Big Data data warehouse data analytics projects data migration change management process andor any IM Information Management related works Experience with Hadoop Technologies such as HDFSMapRFS Map ReduceII Advanced HDFS ACLS Hive HBase Cassandra Impala Spark Drill Sentry Sqoop Flume Kafka Storm Zookeeper and zkClient tool Good understanding on Cloudera or Horton Works or MapR Hadoop Distribution with deep understanding of administration concepts Experience in working with RDBMS technologies such as Oracle Microsoft SQL Server PostgreSQL DB2 MySQL etc Experience in MPP database technologies such as Teradata Handson experience on Spark SparkSQL Hive QL Drill QL Impala Spark Data Frames and Flink CEP Flink TableAPISQL as ETL framework Handson programming skill on ScalaPython using SparkFlink Framework Strong knowledge of Big Data stream ingestion and IoT streaming using Flume or Kafka Storm MQTT RabbitMQ Good understanding Spark Memory management with and without Yarn memory management Should have basic understanding on Cloudera Manager or HortonWorks Ambari and MapR Control System Should have experience developing and designing in one or more NoSQL database components and objects using Cassandra Mongo HBase CouchDBCouchbase Elasticsearch Should have experience developing and designing in one or more NoSQL database technologies such as Cassandra Mongo HBase CouchDBCouchbase Elasticsearch etc Should good working knowledge of HCatalog and Hive Metadata Should have working knowledge of Kerberos authentication tool Experience in commercial ETL tools like Talend Informatica or Alteryx will be added advantage Greenplum IBM Pure Data etc will be an added advantage Experience in working with RDBMS technologies such as Oracle Microsoft SQL Server PostgreSQL DB2 MySQL etc Experience in MPP database technologies such as Teradata Greenplum IBM Pure Data etc will be an added advantage Good knowledge of data warehouse and data management implementation methodology Good knowledge of the Information Management framework including operating model data governance data management data security data quality and data architecture Knowledge and experience in  data visualisation concepts using tools such as SAS Visual Analytics or WRS Tableau Microsoft PowerBI or Reporting Services IBM Cognos SAP Business Objects etc will be an advantage Ability to pick up new tools and able to be independent with minimal guidance from the project leadsmanagers Strong analytical and creative problem solving capabilities Ability to establish personal credibility quickly and demonstrate expertise Ability to create a positive learning culture coach and develop team members      ADDITIONAL REQUIREMENTS     4 to 10 years of experience in data warehouse data analytics projects change management process andor any IM Information Management related works Delivered at least two 2 full SDLC lifecycle projects At least one of the industry or domain experiences in Banking Telecommunications Consulting Preferably with experience in implementation best practices involving data management data reconciliation data duping scheduling etc Able to assess design considerations in the aspect of data management and integration Experience with AgileSCRUMKanban software implementation methodology Should have good knowledge in DevOps engineering using Continuous IntegrationDelivery tools such as Docker Jenkins Puppet Chef GitHub Atlassian Jira etc Certification in any of Hadoop Big Data tooltechnology data integration data management or visualisation tools is an added advantage Knowledge about the infrastructure paradigms such as OS network etc is an added advantage ,Manager,Permanent,Information Technology,1 Raffles Quay 048583,6000.0,12000.0,9000.0
Datarobot Singapore ,"Data Scientist, Ai Services",AI Services is a consulting division of DataRobot As Data Scientist at DataRobot AI Services you will work on various realworld problems across a variety of industries You will be developing predictive models that add value to customer organizations and integrating those models into client environments  Ideal candidates enjoy daytoday data science problemsolving mixed with high levels of customer interaction,Main   3 years of realworld business experience with data science projects  Handson experience building and implementing predictive models  Experience with machine learning techniques  Strong understanding of applied statistics and data miningmunging techniques  Excellent organizational communication writing and interpersonal skills  Fluency with one of the scripting languages Python  R,Professional,Permanent,Information Technology,80 Robinson Road 068898,7500.0,12500.0,10000.0
Eurosports Technologies ,Data Scientist,Job Description In this role you are responsible for gathering and analyzing data to generate invaluable insights so that Scorpio Electric is able to make databacked decisions as it expands across Southeast Asia To do that you will  Handle data analysis including quantitative and qualitative analyses to elevate customer experience with usage of automotive products Develop data analysis applications for heuristic development Analyse statistical data and trends to create advanced automotive algorithms Create data models for physical products in cooperation with hardware teams and improve data sets and data polling strategy Determine data collection storage and destruction requirements for machine learning ,As a growing company with a small team we work closely together to drive towards a common goal of reducing pollution and congestion Therefore we will need individuals who love to challenge own the work that they do and constantly punch above their weight at work You should have  A degree in Computer Science Computer Engineering IT or equivalent More than 2 years of working experience in data analysis Good proficiency for Linux servers C Python MySQL other scripting languages and databases Experience in pythonscikit or other machine learning frameworks ,Senior Executive,Permanent,Engineering,Leng Kee Autopoint 24 Leng Kee Road 159096,3000.0,7000.0,5000.0
Optimum Solutions (Singapore) ,Data Scientist,Optimum Solutions Company Registration Number 199700895N is a full spectrum Software Solutions and Services Company Software services from Optimum are designed to deliver Enterprise ClientServer Multitier and Web based solutions across the entire value chain spanning onsite consulting services to turnkey software projects We started our operations in March 1997,10 Years  Experience in Machine Learning Python R Programming is Must Experince in Bigdata IE Hadoop Hive and Spark is Must Experince in Predictive Analytical Techniques is Added Advantage Experience in Banking Domain is desired  ,Senior Executive,Contract,Information Technology,Plaza 8  Cbp 1 Changi Business Park Crescent 486025,7000.0,9000.0,8000.0
Thales Solutions Asia ,Data Engineer, You should be able to develop construct and test architectures for data processing in an efficient manner ie marrying systems together via various tools You should be able to recommend and implement ways to improve data reliability efficiency and quality Understand the functional aspects of the delivery and able to constructively discuss with the Data Scientists You should be able to ensure data architecture will support the requirements of the business You should be able to develop processes for data modelling mining and data production You should be able to discover data for acquisition eg social media data ingress into architecture , Write and review the necessary technical documentation wrt data engineering Minimum of 5 years software experience where you spent at least 2 years in a dataoriented environment with a focus on data engineering Have working knowledge of one or more programming languages like Java Python C Scala Have working knowledge of leveraging SQL NoSQL databases in data architectures eg PostgreSQL MySQL MongoDB Cassandra Hive Have demonstrated applications of data mining data transformation to the ETL pipelines Ability to convert technical data stories into working and tested code Has Agile methodology and process understanding and experience Has DevOps tooling user skillset in using JiraConfluence GIT and a CICD tool Has a continuous learning mindset and learning of new programming paradigms techniques  practices Open strong communicator who communicates effectively across teams locations and cultures inperson and virtually Courage of convictions with a high degree of humility Embraces constructive feedback and is resilient ,Executive,Permanent,Engineering,21 Changi North Rise 498788,5000.0,7000.0,6000.0
Company Undisclosed,Data Scientist,This position will play a critical role in leading Data Analyst team in providing a clear and rich insight from database into a report to be used for future development clients profile and product development   Responsibilities   Lead team of Data Analyst in data mining and present a readable data from it Conduct data interpretation analyzing results using statistical techniques Develop and implement data analyses data collection systems and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintaining databases Work with other department in the usage and needs from the database Maintain and update all data interpretation in timely manner      ,      Bachelors degree in Computer Science Data Science or Engineering required 9 years of DatabaseData warehouse experience with SQL required 2 years of managing Data Analyst team Experience in working with big data as well as a variety of relational databases data profiling and data mining Highly motivated energetic extremely personable comfortable working closely with business partners and technical resources at all levels Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities Strong presentation skills and ability to communicate complex findings and ideas in plain language Ability to multitask and drive success with limited resources in a matrix organization ,Manager,Permanent,General Management,Undisclosed,6000.0,8000.0,7000.0
Dathena Science ,Data Scientist,Job title                    Data Scientist  Reports to               Chief Science Officer PhD and Solution Architect     About Dathena Science   Dathena is a Swiss and Singaporean company developing data governance software based on machine learning algorithms Dathena is the most complete and accurate data governance platform and is the only solution to easily classify and manage data with this level of accuracy while helping companies to comply with regulations Using cutting edge machine learning technology Dathena sift through all unstructured data allowing to regain full control on companys information   Job Purpose              We are looking for a Data Scientist that will help us discover the information hidden in vast amounts of data and help us make smarter decisions to deliver even better products   Your primary focus will be in applying data mining techniques doing statistical analysis and building high quality prediction systems integrated with our products by improving and extending the features used by our existing classifier by developing internal testing procedures and enhancing our system for automated fraud detection   While it is essential that the Data Scientist brings efficient and effective behavior to increase the productivity of the organization is it also critical that the intern retain the creative spark that drives Dathenas vision and values    This position requires to be patient and perseverant in order to discover issues with huge amounts of data and        resolve them by adding new features to an existing validation tool    This is an iterative and ongoing work, Responsibilities   Selecting features building and optimizing classifiers using machine learning techniques Data mining using stateoftheart methods Extending companys data with third party sources of information when needed Enhancing data collection procedures to include information that is relevant for building analytic systems Processing cleansing and verifying the integrity of data used for analysis Doing adhoc analysis and presenting results in a clear manner Creating automated anomaly detection systems and constant tracking of its performance  Skills and Qualifications  Strong programing skills in ScalaPythonSpark Experience with at least one highly available data store SQL Hadoop MySQL etc Knowledge in Machine Learning Statistics Natural Language Processing Knowledge in Deep Learning is preferable A strong passion for empirical and independent research Ability answering hard questions with data  Soft Skills  Fluent in English Dataoriented personality Exceptional Oral and Written Communication Skills Time management Interpersonal Skills Critical Thinking Presentation Skills Proactive and interested in the area of data security and governance This temporary position may be converted into a fulltime job  Working Conditions  The Data Scientist will be part of a highly qualified and dynamic team PhD where you will be able to learn and improve himself         The Data Scientist must fully embrace the team spirit of a young and innovative Startup They must be able to adapt to a multicultural environment Travel and remote location might be required     Location Singapore RD Office   ,Entry Level,Permanent,Engineering,One George Street 1 George Street 049145,5000.0,7000.0,6000.0
Propertyguru ,Data Scientist,The role PropertyGuru Asias leading online property group is looking for a new data scientist for the Data Science  Analysis Team After a phenomenal ride of growth the company is further expanding to new milestones with special focus on Data Science  BI based products As a data scientist you will be part of one of Southeast Asias strongest technology teams working on high impact data science project In this role you will lead the research and execution of data science project working with massive interesting data and turn them into our key competency Our websites attract more than 100 million monthly pageviews which results in nonstop massive clickstream for behavior data with around 130M of users we also have the most comprehensive data for property supply and demand in Southeast Asia Are you ready to turn our massive data into superior consumer satisfaction and remarkable business growth Responsibilities  Initiate high impact data science projects and make actionable plan Research and design the core algorithm Develop prototype and some production API Liaise with product owner and engineers to deliver Analyse the performance of data science projects and continuously improve     ,  PhD in Machine Learning related field or Master with rich relevant experience Familiar with general ML methods and expert in one of the following field 	 Deep learning Recommender Supervised learning and feature engineering Personalization Time series analysis   Proven success in applying data science methodologies to business Proficient in a data science language like Python R or Scala Familiar with machine learning packages like scikitlearn TensorFlow etc Ability to develop stable production API is a plus Logical  systematic team player fast learner ,Executive,Permanent,Information Technology,Tripleone Somerset 111 Somerset Road 238164,7000.0,9000.0,8000.0
