,Company,Title,Salary_Range,Responsibilities,Requirements,Seniority,Employment_Type,Category,Address
291,AVODAQ PTE. LTD.,Software Analyst,"$2,000to$4,000","Roles & ResponsibilitiesAre you interested in data analytics or technology in general? In this role, you will work directly with customers to understand their IT environment, consult, implement, analyze and ultimately drive customer success through the adoption of Application Performance Management (APM). APM is a management platform designed to monitor the availability and performance of software, down to the code level. APM allows its stakeholders to take a proactive approach to solving business related IT challenges by enabling its users to interpret generated information in a meaningful and actionable manner, freeing up time for innovation. While not the primary role of this position, you will gain exposure to technical presales and help the team craft responses to tenders. If you are an individual who is looking to help institutions bridge the gap between technology and business, we want you!","RequirementsWhat we expect  Background in IT, Software Development, Statistics or Math’s Willingness to learn new technologies Strong business data analytical skills Self-Driven mindset Strong attention to detail Positive mindset Excellent verbal and written English communication skills  Nice to Have:  Interest in programming Knowledge in either web or mobile applications Past experience working with APM tools ",Junior Executive,Full Time,"Information Technology, Professional Services","THE STRATEGY, 2 INTERNATIONAL BUSINESS PARK 609930"
292,Company Undisclosed,Senior Manager,"$5,000to$8,000","Roles & ResponsibilitiesThe Manager/Senior Manager uses data analytics and determines new strategies to make production processes more efficient to meet organisation's goals. He/She establishes, implements and manages projects to meet operational objectives. He/She manages his/her team resources and balances between production requirement and manpower resources to ensure organisation's sustainability. He/She integrates quality principles and methodology to enhance engineering performance within the organisation.In addition the Manager/Senior Manager evaluates the organisation’s approach towards a lean enterprise and uses data analytics for business insights identification. He/She drives innovation practices in the organisation and review manufacturing processes to reduce working capital and optimize inventory levels.As a people manager, the Manager oversees manpower, financial, training and resource planning deployment within the organisation. He displays a high level of organisational awareness and leadership skills by working in a consultative manner with other departments/sections within the organisation.","Requirements ~ Analyse data for business insights identification. ~ Analyse production efficiencies. ~ Conduct interviews and make hiring decisions. ~ Determine priorities dynamically and set planning assumptions for work in progress levels by product, cycle time and yield. ~ Develop On-the-job training programme. ~ Develop workplace learning plan. ~ Evaluate organisations approach towards a lean enterprise. ~ Evaluate the sustainability of manufacturing process by preparing rough cut capacity plans. ~ Evaluate workplace safety and health management system for compliance and improvement. ~ Improve operation planning through use of big data and advanced analytics modelling. ~ Integrate quality principles and methodology to enhance engineering performance. ~ Lead change management in the organisation. ~ Manage balance between production requirement and manpower resources. ~ Manage innovation practises in organisation. ~ Manage manufacturing key metrics including loading, performance to commitments, on time delivery and bottlenecks. ~ Manage material requirements planning taking into account the sales forecast, production plan and production capacity. ~ Resolve workplace grievances and disputes. ~ Review manufacturing processes to reduce working capital and optimise inventory levels.",Senior Management,Full Time,Admin / Secretarial,
293,Company Undisclosed,Manager,"$5,000to$8,000","Roles & ResponsibilitiesThe Manager/Senior Manager uses data analytics and determines new strategies to make production processes more efficient to meet organisation's goals. He/She establishes, implements and manages projects to meet operational objectives. He/She manages his/her team resources and balances between production requirement and manpower resources to ensure organisation's sustainability. He/She integrates quality principles and methodology to enhance engineering performance within the organisation.In addition the Manager/Senior Manager evaluates the organisation’s approach towards a lean enterprise and uses data analytics for business insights identification. He/She drives innovation practices in the organisation and review manufacturing processes to reduce working capital and optimize inventory levels.As a people manager, the Manager oversees manpower, financial, training and resource planning deployment within the organisation. He displays a high level of organisational awareness and leadership skills by working in a consultative manner with other departments/sections within the organisation.","Requirements ~ Analyse data for business insights identification. ~ Analyse production efficiencies. ~ Conduct interviews and make hiring decisions. ~ Determine priorities dynamically and set planning assumptions for work in progress levels by product, cycle time and yield. ~ Develop On-the-job training programme. ~ Develop workplace learning plan. ~ Evaluate organisations approach towards a lean enterprise. ~ Evaluate the sustainability of manufacturing process by preparing rough cut capacity plans. ~ Evaluate workplace safety and health management system for compliance and improvement. ~ Improve operation planning through use of big data and advanced analytics modelling. ~ Integrate quality principles and methodology to enhance engineering performance. ~ Lead change management in the organisation. ~ Manage balance between production requirement and manpower resources. ~ Manage innovation practises in organisation. ~ Manage manufacturing key metrics including loading, performance to commitments, on time delivery and bottlenecks. ~ Manage material requirements planning taking into account the sales forecast, production plan and production capacity. ~ Resolve workplace grievances and disputes. ~ Review manufacturing processes to reduce working capital and optimise inventory levels.",Manager,Full Time,Admin / Secretarial,
294,A*STAR RESEARCH ENTITIES,"Research Engineer (Data Analytics), I2R (A*STAR)","$2,500to$5,000","Roles & ResponsibilitiesAbout Institute for Infocomm Research (I²R)  The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualisation solutions. For more information about I²R, please visit www.i2r.a-star.edu.sg We are looking for highly-motivated and skilled data engineer to work on a new initiative on developing advanced automatic data pre-processing techniques for facilitating key data analytics applications in various industry domains, including advanced manufacturing and engineering, financial services, healthcare, and urban development. Successful candidate will work with a team of data scientists and data engineers to develop novel methodology for automatic data integrity check, data imputation, and segmentation for structured data and time-series data commonly generated by industry companies. Successful candidate will have the opportunity to tap into a large pool of industrial data from different disciplines and to interact with the companies to understand their real data needs. Successful candidate will also engage in project scoping with industry companies to develop solution to address the data analytics needs.      ","Requirements Minimum Bachelor degree in the field of computer science, computer engineering, mathematics and statistics, electrical engineering, or other data science intensive program. With expertise in at least one of the following areas: data mining and management, machine learning, statistical learning, time-series analytics Possess minimum 1 year of relevant work experience Ability to work independently to translate research ideas into programs with efficient coding Basic knowledge on data analytics, machine learning, data mining Proficient in Python, R, C++ or Java Prior industry experience with engineering, financial services, healthcare, or urban development is a plus Able to deliver under tight schedule Good team player with both research and engineering ethics Good interpersonal and communication skills  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified",Professional,"Contract, Full Time",Sciences / Laboratory / R&D,"UOB PLAZA, 80 RAFFLES PLACE 048624"
295,A*STAR RESEARCH ENTITIES,"Research Engineer (Data Analytics), I2R (A*STAR)","$2,500to$5,000","Roles & ResponsibilitiesAbout Institute for Infocomm Research (I²R)  The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualisation solutions. For more information about I²R, please visit www.i2r.a-star.edu.sg We are looking for a data engineer who can contribute on text analytics-related projects. Job Responsibilities:  Deliver results: Develop technologies, improve performance Demonstrate long-term vision, while effectively supporting short-term goals     ","Requirements   Minimum Bachelor degree in computer science or other related areas Possess expertise in the areas of natural language processing, text mining, deep learning, machine learning, and/or cloud computing Being an excellent team player Good interpersonal and communication skills  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified",Professional,"Contract, Full Time",Sciences / Laboratory / R&D,"UOB PLAZA, 80 RAFFLES PLACE 048624"
296,BIOFOURMIS SINGAPORE PTE. LTD.,Solution Architect,"$7,000to$9,000","Roles & Responsibilities·      Design and architect the entire data workflow from device to analytics models to the final production system ·      Design the entire solution architecture on AWS cloud by leveraging on AWS managed services. ·      Manage and optimise our existing data analytics engine and DevOps pipeline in AWS cloud ·      Design and architect data lake and data analytics platform by using latest AWS managed service ·      Analyse business requirements and convert them into functional specifications and detailed design documents ·      Overlook the entire progress of Biofourmis solution delivery and provide insights on components integration ·      Lead backend development team to continue optimizing and evolving Biofourmis SaaS platform ·      Work with our data scientists to integrate data analytics models into our production environment ·      Compile and analyse data, processes and codes to troubleshoot problems and identify areas for improvement ·      Collaborating with frond-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user experience ·      Develop ideas for new programs, products or features leveraging on our in-house AI models ·      Advocate industry best practise and push the limit of in-house development team","Requirements·      Bachelor’s degree in computer programming, computer science, or a related field ·      3+ years of system design and business analysis experience ·      5+ years (3+ years if having master degree) of software development and system integration experience. ·      5+ years of Linux experience and AWS cloud or similar cloud service experience ·      Proficient at SQL/NoSQL database technology ·      Proficient at Python and web development framework like Flask or Django ·      Follow the good practice of software development process and tool kit, i.e. TDD, Git, CI, documentation ·      Experience with ECG, PPG, and other types of biomedical/healthcare data is a plus. ·      Ability to work independently to solve complex problems with large, real-world datasets. ·      Willing to learn and passion about new technology",Professional,"Permanent, Full Time","Engineering, Sciences / Laboratory / R&D","VISION EXCHANGE, 2 VENTURE DRIVE 608526"
297,BIOFOURMIS SINGAPORE PTE. LTD.,Senior Backend Engineer,"$5,000to$7,000","Roles & Responsibilities·      Design and architect the entire data workflow from device to analytics models to the final production system ·      Manage and optimise our existing data analytics engine and DevOps pipeline in AWS cloud ·      Work with our data scientists to integrate data analytics models into our production environment ·      Compile and analyse data, processes and codes to troubleshoot problems and identify areas for improvement ·      Collaborating with frond-end developers and other team members to establish objectives and design more functional, cohesive codes to enhance the user experience ·      Develop ideas for new programs, products or features leveraging on our in-house AI models ·      Develop ETL to smooth the workflow of our in-house data scientists research ·      Translate our in-house data models from MatLab/R to Python if necessary  ","Requirements     ·      Bachelor’s degree in computer programming, computer science, or a related field ·      5+ years (3+ years if having master degree) of software development and system integration experience. ·      3+ years of Linux experience and AWS cloud or similar cloud service experience ·      Proficient at SQL/NoSQL database technology ·      Proficient at Python and web development framework like Flask or Django ·      Follow the good practice of software development process and tool kit, i.e. TDD, Git, CI, documentation ·      Knowing Matlab or R, or other scripting language is a plus. ·      Experience with ECG, PPG, and other types of biomedical/healthcare data is a plus. ·      Ability to work independently to solve complex problems with large, real-world datasets. ·      Willing to learn and passion about new technology","Manager, Senior Executive",Full Time,"Engineering, Information Technology, Sciences / Laboratory / R&D","VISION EXCHANGE, 2 VENTURE DRIVE 608526"
298,A*STAR RESEARCH ENTITIES,"Research Engineer (Cyber Security&Intelligence), I2R / A*STAR","$2,500to$5,000","Roles & ResponsibilitiesAbout the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg Successful candidate will work with a team to conduct exciting R&D on multimedia security, in one or more of the following areas: tampering detection, data hiding, security intelligence and analytics, pattern recognition, machine learning & analytics. Successful candidate will be involved in researching and developing advanced technologies and algorithms to detect, analyse, and assess data related to anomalies in image/audio/video signals.               ","Requirements    Minimum Bachelor Degree in Computer Science, Computer Engineering, Information Security or other related fields   Experienced in multimedia security, computer vision, image/video processing, machine learning will be a plus   Proficient in at least one programming language of Python, C, C++ and Matlab   Highly motivated, resourceful, with good attitude   Ability to deliver under tight schedules   Good interpersonal, presentation and communication skills   The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",Professional,"Contract, Full Time",Sciences / Laboratory / R&D,"UOB PLAZA, 80 RAFFLES PLACE 048624"
299,A*STAR RESEARCH ENTITIES,"Research Engineer (Visual Intelligence), I2R / A*STAR","$2,500to$5,000","Roles & ResponsibilitiesAbout the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg The department of Image and Video Analytics of Institute for Infocomm Research (I2R), A*STAR, is looking for talented candidates to join our multi-disciplinary team in the development of an automated aircraft inspection system. As part of the Aerospace Industry Transformation Map (ITM), the project looks into how automation, image analytics, robotics and artificial intelligence can improve the productivity of the manual aircraft inspection process. We are looking for candidates with passion in research and development, as well as translating R&D technology into industry applications. Successful candidate will be required to work with a team of research scientist, engineers in robotics, vision, machine learning and human-computer interaction.         ","Requirements    Minimum Bachelor degree in Computer Science or related fields   Possess strong programming skills in C++, C#, Python   Experience and knowledge in OpenCV/ROS/Unity3D/ UnrealEngine/ CUDA, MATLAB, computer vision, image/ video processing and machine learning is a plus   The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",Professional,"Contract, Full Time",Sciences / Laboratory / R&D,"UOB PLAZA, 80 RAFFLES PLACE 048624"
300,GOOGLE ASIA PACIFIC PTE. LTD.,"Strategic Marketing Analyst, Scalable Marketing Solutions - Singapore","$4,600to$9,200","Roles & ResponsibilitiesCompany overview: Google is not a conventional company, and we don’t intend to become one. True, we share attributes with the world’s most successful organizations – a focus on innovation and smart business practices comes to mind – but even as we continue to grow, we’re committed to retaining a small-company feel. At Google, we know that every employee has something important to say, and that every employee is integral to our success. We provide individually-tailored compensation packages that can be comprised of competitive salary, bonus, and equity components, along with the opportunity to earn further financial bonuses and rewards. Googlers thrive in small, focused teams and high-energy environments, believe in the ability of technology to change the world, and are as passionate about their lives as they are about their work. For more information, visit www.google.com/careers. The area: Online Partnerships Group - Global Partnerships Google helps our partners find better ways to reach their audiences and manage their digital businesses. In return, our partners provide great content for our products, and they syndicate Google products to enhance their sites and apps. Global Partnerships team members expand and support these relationships by continually finding new opportunities and solving technical problems for our partners. The wider Global Partnerships team includes a variety of different organizations, including CorpDev, Emerging Business Development, Strategy and Operations, Google for Startups, Area 120 and our Display Advertising Business. The role: Strategic Marketing Analyst, Scalable Marketing Solutions - Singapore The Online Partnerships Group (OPG) uses our portfolio of product solutions, including AdSense and Google Marketing Platform tools, to help online publishers grow their businesses. You'll provide creative, industry-leading online advertising solutions for publishers and developers and identify new opportunities. Some of the largest publishers on the web rely on our products and we're always trying to exceed their expectations and strengthen our long-term partner relationships. We help grow Google's business with the largest online publishers and provide account management for users of AdSense, Google Ad Manager and more. Additional Role Description: As a Strategic Marketing Analyst, you will use your analytical and technical skills to grow the online businesses of AdSense publishers and AdMob developers. You’ll be immersed in massive datasets using Google Infrastructure and tools. You’ll connect your data expertise with the knowledge of other subject matter experts to uncover and develop new tactics our publishers can use to grow their businesses. You’ll partner with marketers to make sure they have compelling data that will be used to reach out to a massive number of publishers with customized, personalized messages, while using and growing your data analytics skills to solve challenging problems. The work is a mix of campaign opportunity sizing, data mining, lead generation, measurement, data exploration, data analysis, and automation. Responsibilities: - Mine massive datasets and analyze them to create customized recommendations at scale to help our publishers grow their businesses. - Extract and transform datasets, explore and highlight insights through data visualization. Transform complicated problems into simpler tractable ones. - Build data pipelines and scripts to enable automation of scalable sales and marketing campaigns. - Design measurement metrics focused on strategic priorities, design A/B tests, and measure results for marketing campaigns. - Engage with the broader sales, marketing, product, and engineering teams to understand strategic priorities and identify potential recommendations that will resonate with publishers.","RequirementsMinimum qualifications: - Bachelor's degree in Engineering, Computer Science, Mathematics, Statistics, Economics, related field or equivalent practical experience. - Experience in SQL scripting. - Experience working with datasets/data warehouses. Preferred qualifications: - Experience with R, HTML, Python, JavaScript, and/or other languages. - Experience with statistical and quantitative modeling (e.g., regression, classification, clustering, etc.). - Excellent communication skills with technical and non-technical stakeholders.",Junior Executive,Full Time,"Information Technology, Sales / Retail ","MARINA BAY FINANCIAL CENTRE, 8 MARINA BOULEVARD 018981"
301,A*STAR RESEARCH ENTITIES,Research Engineer (Human language Technologies) /  I2R (A*STAR),"$2,500to$5,000","Roles & ResponsibilitiesAbout Institute for Infocomm Research (I²R)  The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualisation solutions. For more information about I²R, please visit www.i2r.a-star.edu.sg ﻿We are looking for a highly-motivated and skilled research engineer to work on real-world text data analysis, processing and classificaiton.   He/she will work with a team of scientists with core responsibilities to fulfill research tasks and deliverables.  He/she will learn the state of- the-art in the relevant research fields and have the opportunity to solve real-world challenging problems in the medical data domain.","Requirements Minimum Bachelor Degree in Computer Science, Engineering and Electronics, Mathematics or other related fields Good programming experiences and capabilities in python and shell script, c shar or Java  Experience in text data analysis and processing, machine learning. Experience in deep learning is an added advantage  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified",Professional,"Contract, Full Time",Sciences / Laboratory / R&D,"UOB PLAZA, 80 RAFFLES PLACE 048624"
302,GROUPM SINGAPORE PTE. LTD.,Talent Acquisition Manager,"$4,500to$8,000","Roles & ResponsibilitiesOverview of job GroupM is the world’s largest media investment company and are a part of WPP. In fact, we are responsible for one in every three ads you see globally. We are currently looking for a Talent Acquisition Manager to join us. In this role, you will be responsible for leveraging on recruitment technology and using creative talent attraction techniques to bring in the best and brightest talents across the globe to GroupM. At GroupM APAC, our people are our strength, which is why fostering a culture of diversity and inclusion is important to us. Reporting of the role This role reports to the HR & Talent Director, SG and Head of Talent Acquisition, APAC  3 best things about the job:  You will recruit best talents for the world’s leading media agency group where you will partner strategically with all our agencies’ business leaders, MDs, CEOs etc. Work in a fun and fast-paced industry at the heart of digital, data, analytics, content and technology, and we value new ideas and thinking to bring in the next wave of best talents for our business Demonstrate your talent vision and leadership that will transform and inspire the Singapore talent acquisition team to become a stronger strategic partner for the business and group.  In this role, your goals will be: In three months:  Build up a solid understanding of the media and digital industry, agencies’ business structure and talent requirements Establish a strong business relationship with our agencies’ stakeholders and understand their needs and desired expectations. Lead and motivate your team with a clear vision and strategy to deliver high-quality work, and cultivate a strong solution driven & growth mindset Be familiar with internal practices, process and policies, and technology available, and partner with the Head of Talent Acquisition, APAC to review & strengthen the talent acquisition strategy.  In six months:  Deliver a clear and concise strategy to build a talent pipeline and ensure positive candidate experience from application to placement Understand clearly the complexity of the business requirements and structure, and able to successfully manage expectations and influence stakeholders to support the talent acquisition processes and policies Review and recommend smart and effective recruitment tools/technology to attract best talents in shortest time Use quantitative/qualitative data to provide a regular predictive analysis for business leaders, Talent and HR leaders in anticipation of future requirements  In 12 months:  Identify as the expert and trusted talent acquisition partner for our agencies and group Evaluate full year recruitment and team gaps/performance, and envision future strategy to achieve best in class hires Increase the % of hires through internal program (e.g referral program)  What your day job looks like at GroupM:  Build an open, collaborative and authentic agency relationship across all levels that will support and manage the agencies’ requirements and desired expectations Work closely with the Head of Talent Acquisition APAC and HR & Talent Director to implement the talent acquisition strategy (in line with the business strategy and any regional talent acquisition strategy) across the group Partner effectively with the commercial heads and agency leads on hire requests and approval from regional HQ in ensuring on time hire requests submitted Research and implement new strategies and technologies to build relevant talent pipeline, and always encouraging the talent acquisition team to be proactively searching, connecting and identifying top talents in the market Cultivate an open and nurturing culture with the mindset to train and coach, helping the team to overcome work challenges and contribute effectively Provide effective recruitment advice, guidance and solutions to all hiring managers across the group, including statutory obligations Maintain a good knowledge and understanding of competitive compensation in the media and digital industry Ensure all relevant Sarbanes Oxley Compliance procedures and processes are followed, adhered to and evidenced at all times Actively search and drive all recruitment initiatives/programs that promote both foreign and local hiring  More about GroupM GroupM leads and shapes media markets by delivering performance enhancing media products and services, powered by data and technology. Our global network agencies and businesses enable our people to work collaboratively across borders with the best in class, providing them the opportunity to accelerate their progress and development. We are not limited by teams or geographies; our scale and diverse range of clients letsus be more adventurous with our business and talent. We give our talent the space, support and tools to innovate and grow. Discover more about GroupM at www.groupm.com  Follow @GroupMAPAC on Twitter Follow GroupM on LinkedIn - https://www.linkedin.com/company/groupm About Singapore GroupM Singapore operates in one of the most dynamic and exciting environments in the world. Although it is a small domestic market, there is a vibrant media industry which is undergoing rapid evolution as digital technology reshapes the way marketing supports advertisers’ needs. Being at the crossroads of Asia means that aside from the local clients and media owners, we also have a high proportion of multi-national clients and media owners. As the largest media investment management company in Singapore with over 41% market share (Recma) and over 650 employees, GroupM Singapore is the premiere organisation to join and develop a career in.","RequirementsWhat you’ll bring:  Extensive experience and track record of high volume of roles in media, marketing, digital Ability to multi-task, prioritise and deal with ambiguity in a highly complex matrix structure Highly solution-driven, adaptable, and possess a strong growth mindset Proven senior stakeholder management experience Loves speed and accuracy, and collaborative relationships at all time! Strong presentation and negotiation skills ",Manager,Full Time,"Advertising / Media , Human Resources ","THE HOUSE OF EDEN, 4 ROBINSON ROAD 048543"
303,A*STAR RESEARCH ENTITIES,"Research Engineer (Cyber Security&Intelligence), I2R / A*STAR","$2,500to$5,000","Roles & ResponsibilitiesAbout the Institute for Infocomm Research (I²R) The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualization solutions. For more information about I2R, please visit www.i2r.a-star.edu.sg Successful candidate will be working with a team to carry out research work on cyber security related to Industrial Internet of Things security and Blockchain.This involves novel security solutions development, implementation, testing designing, planning, as well as test reporting.           ","Requirements    Minimum Bachelor degree in Computer Science, Computer Engineering, Electrical Engineering, Information Technology or related fields   Knowledge or experience in cyber security, network security, system security and system integration will be beneficial   Proficient in Python and C/C++   Motivated, Resourceful, Analytical and Good Attitude individuals   Willing to learn new skills and knowledges   Ability to deliver under tight schedule   Possess good interpersonal, presentation and communication skills   The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified.",Professional,"Contract, Full Time",Sciences / Laboratory / R&D,"UOB PLAZA, 80 RAFFLES PLACE 048624"
304,STONRICH PTE. LTD.,HR and Admin Executive,"$2,000to$2,800","Roles & ResponsibilitiesThe Human Resource Executive (Performance and Rewards) supports execution of performance management programmes, and compensation and benefits plans. He/She compares the organisation's compensation and benefits programmes with other organisations. He/She oversees the preparation of the payroll reports and works with benefits partners for claim disbursements.He/She ensures the accuracy of performance and compensation records in the systems, as well as ensuring regulations are followed. He/She performs data analytics and shares insights reports with senior members of the team.He/She works well in a team environment, and is able to communicate well with various stakeholders. He/She possesses an analytical mind and displays keen insight into data, using them to address issues and find solutions to work challenges.","Requirements1. Full spectrum of HR duties as follows:-  Recruitment & Staffing Compensation & Benefits Training and Development arrangement for employees Appraisals and Performance management Conflict Resolution Maintaining Employer and Employee Relation  2. Ensure all Company Policies are adhered to. 3. Oversee and administrate the internal documentation flow. Ensure all necessary documents are properly issued and documented in the right files. 4. Min. 2 years of HR experience handling full spectrum of HR duties 5. Good communication and interpersonal skill 6. Patience to provide listening ears to grievances 7. Good analytical ability, impartiality, objective and compliance to handle conflict and dispute 8. Positive attitude. 9. Able to work on alternate Saturday (1/2 day)",Junior Executive,Permanent,Human Resources ,2 TRACTOR ROAD 627966
305,TOOKITAKI HOLDING PTE. LTD.,Data ML Engineer,"$9,000to$15,000","Roles & ResponsibilitiesAbout Tookitaki Tookitaki is providing machine learning-powered enterprise solutions to address regulatory compliance problems in the financial services sector. Incorporated in November 2014 in Singapore, the company is led by a core team with cumulative 30-years’ experience in finance, AI and big data analytics. Backed by institutional investors such as Jungle Ventures and Spring Seeds (a subsidiary of the Singapore Government), the company’s accolades include:  We are among the selected 21 companies which got accreditation from the government of Singapore for their stringent technology, finance and operations due diligence (www.imda.gov.sg/industry-development/programmes-and-grants/startups/accreditation-at-sgd) We won the first place in the MAS FinTech Awards (Singapore SME) in the regulatory compliance space from the Monetary Authority of Singapore for our approach to make the workflows in AML and Reconciliation scalable and highly auditable (beyond ML based black box approach) (www.mas.gov.sg/News-and-Publications/Media-Releases/2016/Ten-FinTech-companies-recognised-for-innovative-solutions-at-inaugural-FinTech-Awards.aspx) We are voted as one of the top 21 AI start-ups focusing on the financial services space by medici (www.letstalkpayments.com/medici-top-21-ai-companies/) We graduated from Nomura's corporate innovation program in November 2017 where we successfully delivered our product – Reconciliation Management Suite – in a pilot environment (https://inc42.com/buzz/nomura-voyager-fintech-accelerator-voyager-demo-day/)  In regulatory compliance, we focus on anti-money laundering and reconciliation and our products – Alerts Management Suite (AMS) and Reconciliation Management Suite (RMS) – cater to these areas, respectively. The mission or goal is to achieve 40% operational efficiency with significant savings in infrastructure and operational costs. Tookitaki's unique selling proposition (USP) is in our approach where we combine our proprietary modelling technique with our complete auditable framework to make the process dynamic and highly explainable (moving out of the black box approach). Moreover, our flexible on-premise and cloud-packaging capabilities, along with the option of easy integration to exiting core-banking applications (REST API end points), make the solution deployment faster with lesser barrier to entry. Today, regulatory compliance processes have become more complex and fluidic, increasing the chances for rule-based models to fail. Banks need to move beyond static rule-based systems and adopt a new approach to prevent financial and reputation loss. Tookitaki bridges the gap with its innovative software products – AMS, RMS and PMS.        ","RequirementsRole: ML Engineer Engineering @ Tookitaki The engineering team is responsible for building a robust predictive platform, which can add significant value to the BFSI vertical in solving operational and compliance risk problems. We take pride in building the system right and continuously evolving it. You have the freedom to choose right tools for the task. We also encourage to participate in and contribute to open source community.   Our Ideal Candidate  Our engineering team is looking for a lead machine learning engineer with a work experience of 4+ years. The candidate would be responsible for contributing to product development and would be considered a good fit if he/she:  Ships high quality code and believes in TDD Has deep experience with one of JVM languages such as Scala, Java and Python Has understanding of and working experience with Machine Learning and AI Has the ability to engineer low-latency systems from ground up Has deep understanding working with big data/data engineering components like HDFS, Yarn, Hive and Spark Has experience tuning the complex systems for performance optimizations - including application tuning, runtime tuning and infrastructure tuning Has deeper understanding of efficient memory management, GC tuning and application profiling Has experience defining the right tech stack and designing the overall architecture of the system Has experience working with one or more cloud providers, preferably AWS Enjoys digging into open-source project and contributing back Is well versed with tools of the trade - Git, IDEs, and build tools Has a keen desire to learn and grow Has experience working with one or more distributed NoSQL stores Has the ability to lead and mentor other members in the team  Educational/Professional Requirements   PhD or master’s in computer science or related quantitative discipline from a reputed institution Work experience of 4+ years  Desired Non-technical Requirements  Very strong communication skills both written and verbal Strong desire to work with start-ups Must be a team player  Job Perks  Attractive variable compensation package Flexible working hours - everything is results-oriented Opportunity to work with an award-winning organization in the hottest space in tech - artificial intelligence and advanced machine learning   ",Middle Management,Permanent,Engineering,"HIGH STREET CENTRE, 1 NORTH BRIDGE ROAD 179094"
306,A*STAR RESEARCH ENTITIES,Manager (ECTD) /  I2R(A*STAR),,"Roles & ResponsibilitiesAbout Institute for Infocomm Research (I²R)  The Institute for Infocomm Research (I²R) is a member of the Agency for Science, Technology and Research (A*STAR) family and is Singapore’s largest ICT research institute. Our strategic thrusts are in the spheres of intelligence, communications and media and our research capabilities are in shared sensor networks, public-public/public-private data-sharing platform, big data analytics and visualisation solutions. For more information about I²R, please visit www.i2r.a-star.edu.sg Successful candidate will take on the following role:  Talent recruitment and development strategies Strategic approach and process on staff redeployment/movement to best utilise their capabilities Contract renewal and EOC recommendation  Manpower and staff movement tracking Staff on boarding and off boarding management  Recruitment activities and promotional collaterals  SOP for work functions Perform other duties as assigned ","Requirements Degree in any disciplines Minimum 5 years of relevant working experience; experience in human resource management will be an added advantage Well-developed communication skills - able to clearly and concisely express information to all levels of the workforce Strong negotiation, people and project management skills  Quick and creative problem solver who works well under pressure Flexibility to adjust and thrive in an environment with changing requirements, schedules and priorities Use sound judgment and demonstrate initiative in carrying out assigned duties Work collaboratively with all levels of the workforce  The above eligibility criteria are not exhaustive. A*STAR may include additional selection criteria based on its prevailing recruitment policies. These policies may be amended from time to time without notice. We regret that only shortlisted candidates will be notified",Professional,"Contract, Full Time",Sciences / Laboratory / R&D,"UOB PLAZA, 80 RAFFLES PLACE 048624"
